Character
" "
e
o
t
a
n
i
s
h
r
\r
\n
l
.
u
d
y
m
g
w
c
f
,
'
I
p
k
b
v
-
?
T
W
S
H
A
Y
!
O
M
N
E
C
L
D
B
G
R
P
j
F
x
""""
U
J
K
0
[
]
z
:
q
V
1
)
(
2
5
#
♪
3
4
8
9
7
´
Z
Q
6
*
$
X
~
}
¶
{
`
%
ÿ
é
/
";"
É
¡
\
ä
—

_
–
Ó
£
â
™
ª
à
è
|
¤
@
í
¨
ã
ó
ü
ñ
♫
Ã
­
á
À
ο
©
Ö
─
§
æ
Ì
î
Ë
ç
å
º
þ
υ
·
²
Α
ô
¬
ö
+
ê
ř
š

¹
³
Η
¯
ï
õ
„
“
…
«
»
Ü
Õ
Ä
’
	
↑
‘
ž
‚
✻
 
”
н
о
Š
с
ъ
к
е
ч
и
р
у
ѣ
а
м
ы
ь
й
л
в
д
п
С
я
Р
і
з
У
ж
б
Д
т
Н
&
^
=
‡
 
ā
>
<
ī
č
ł
°
ē
ė
ū
г
ō
ņ
ø
−
ļ
Ž
ß
ć
х
α
×
ц
В
А
ń
К
П
М
ë
•
ú
ν
ا
ς
ķ
ă
ш
Б
ι
Г
ρ
τ
ș
ε
И
ŭ
ф
ę
ş
ı
О
Č
ý
λ
ś
ل
μ
κ
Á
Т
σ
ě
Л
Ł
ə
ð
π
Å
ḩ
ю
η
Ā
ą
Ķ
م
ي
β
ر
э
ģ
ż
ő
щ
Ś
γ
Ф
ό
́
З
ų
ί
ن
→
ա
ά
İ
δ
ё
Ḩ
د
ა
ب
‎
​
ț
و
ი
Э
ω
Е
ğ
ò
ì
ź
Ē
Ш
φ
Ż
Ş
½
‒
Х
ή
′
س
Ō
θ
Я
έ
Ø
Ч
ї
ն
י
ی
ň
ح
Ю
Ц
ع
ǎ
ր
Ú
Π
ţ
ύ
ṭ
ე
χ
Đ
µ
Κ
Æ
ه
ù
ו
ː
ت
Ç
±
Σ
ة
ˈ
đ
Δ
Ж
ո
რ
ṇ
ŏ
ლ
ի
Î
€
œ
û
І
ј
ר
ف
†
ў
ش
市
‰
Ī
░
א
ق
յ
ṣ
Ţ
Þ
ե
ה
ל
ج
Μ
Ģ
ო
ს
ώ
ز
田
ნ
ћ
Ω
ľ
ů
ा
ვ
्
″
ξ
ط
大
ב
山
Ļ
ك
Λ
ʻ
خ
子
र
ɛ
מ
ŋ
أ
Ș
―
ւ
ἀ
Ε
‑
Â
ә
Í
中
ү
ש
་
ḥ
Θ
ṃ
ص
თ
Ə
←
უ
Ū
տ
נ
一
ბ
მ
ि
Ἀ
ս
ζ
̧
Φ
Γ
გ
ǐ
Ա
ד
ى
ө
დ
川
ע
本
า
ー
ร
შ
ῖ
்
ת
ɔ
Τ
三
ẖ
ḑ
կ
Β
ן
ῶ
ɪ
ン
ť
ἐ
Ν
ָ
ʿ
ồ
น
Χ
 
є
道
კ
ḍ
人
ψ
ὁ
®
ძ
ǔ
ὸ
ּ
մ
島
ɑ
न
木
野
ک
≤
小
Հ
国
ṅ
լ
إ
қ
म
̃
ק
¼
क
Ι
美
ხ
Щ
ῆ
Й
№
藤
ῦ
ὶ
ὐ
य
آ
ְ
原
ח
ʃ
غ
ם
व
ʼ
վ
和
ű
ạ
ả
ल
स
ม
江
գ
上
ἰ
ὰ
西
پ
安
ル
È
ث
բ
ǫ
ס
区
ṛ
の
イ
郎
 
●
া
ी
高
天
ტ
ệ
פ
ď
∈
̄
ʁ
明
อ
դ
ु
東
द
ִ
َ
ิ
村
 
ղ
海
ʊ
ზ
ʾ
त
≈
ग
ง
Ő
Ț
ั
Ψ
ґ
ַ
ơ
ி
文
≥
Ο
Ć
ོ
Ņ
松
ג
ज
ท
井
ט
เ
թ
구
ũ
љ
प
ұ
阿
河
ह
ז
‏
̀
이
ქ
タ
區
ʔ
ფ
州
Ἰ
ὴ
ย
ẕ
北
日
ɡ
夫
太
ġ
平
ئ
ก
ว
Ս
式
ர
√
े
ா
ễ
Ř
長
フ
治
͡
Ľ
Ρ
金
ֹ
ἄ
ọ
ส
พ
ス
հ
二
ं
گ
之
র
ʰ
武
김
্
李
⁺
∞
Ј
ʲ
水
ん
生
க
զ
ἔ
ǒ
ĕ
ḫ
ң
ம
ħ
Մ
ี
林
ƒ
Є
城
ﬁ
Қ
њ
ར
כ
ḷ
谷
ɾ
ག
会
法
公
ĭ
‌
த
མ
շ
צ
ি
ジ
口
行
县
ト
五
∙
บ
い
う
˚
司
雄
պ
國
王
주
民
南
ſ
ư
ァ
神
į
Ḥ
Ά
新
Ә
↔
ุ
ด
ล
Ἐ
真
시
正
華
̯
り
る
์
ṯ
ɨ
ப
宮
有
›
リ
石
地
ナ
ラ
Ą
ὑ
ố
ு
Ħ
ׁ
佐
⋅
ֶ
ֵ
☉
ض
か
的
幸
₂
ք
郡
भ
ὲ
श
ҳ
香
四
ӧ
ғ
ḗ
合
岡
ะ
空
ो
社
部
ম
ུ
군
¿
自
代
学
お
花
ᾶ
Ἑ
ộ
ց
ʒ
ِ
久
し
ị
里
無
‹
清
ⴰ
¾
և
ध
ア
≠
ἡ
Ө
정
京
崎
ッ
ன
理
խ
산
བ
ჩ
⟩
な
良
Ζ
ὀ
ต
Ӏ
永
ང
内
義
দ
樹
直
政
，
手
ད
ས
≡
ە
Œ
ི
ُ
ّ
Կ
अ
吉
と
һ
්
加
│
한
ण
周
光
⟨
カ
ҡ
ầ
ব
女
志
ச
ĩ
̱
ế
♥
森
ռ
物
Ξ
ब
下
刀
千
ช
ド
⇌
ظ
青
Ґ
白
ন
隆
♦
ˇ
也
Ñ
ϊ
字
ロ
ட
株
Ἄ
六
ْ
Վ
橋
ま
ා
Ъ
փ
マ
名
利
ἴ
្
港
ᖅ
十
茶
馬
Ṭ
雅
仁
弘
伊
چ
Ğ
英
保
안
리
漢
̠
Ġ
조
澤
都
門
龍
經
た
由
紀
ห
み
ク
ʹ
き
Ý
வ
♣
ہ
信
동
福
华
ῷ
Ե
ན
Έ
ន
車
⅓
ˌ
陽
ু
丹
康
ჯ
ṁ
΄
葉
