Character;Frequency
" ";15,38
a;10,31
e;8,8
i;7,45
s;7,29
t;4,93
u;4,62
l;4,51
n;4,13
k;3,43
d;3,25
m;3
r;2,07
o;1,85
,;1,8
g;1,65
p;1,47
õ;1,41
v;1,24
j;1,23
h;1,21
ä;1,2
.;1,03
\n;0,98
\r;0,94
ü;0,78
b;0,54
„;0,44
“;0,4
ö;0,25
M;0,21
S;0,21
w;0,18
A;0,18
J;0,18
?;0,16
K;0,14
I;0,12
!;0,11
E;0,1
O;0,09
N;0,09
T;0,08
P;0,07
L;0,07
V;0,07
:;0,07
U;0,05
Ü;0,05
H;0,04
…;0,03
«;0,03
—;0,02
R;0,02
»;0,02
·;0,02
–;0,02
-;0,02
X;0,02
Õ;0,01
W;0,01
с;0,01
(;0,01
D;0,01
”;0,01
Z;0,01
’;0,01
];0,01
