Character;Frequency
" ";15,752339
e;9,184863
a;6,594881
t;6,360186
n;5,744528
i;5,713439
o;5,592223
r;5,079291
s;4,809886
h;3,503919
l;3,161158
d;2,961875
c;2,355981
u;1,994604
m;1,788039
f;1,605326
g;1,434987
p;1,420396
w;1,181152
y;1,165651
b;1,036761
,;0,97383
.;0,90751
v;0,753601
k;0,460166
\r;0,413848
\n;0,413848
1;0,408352
"""";0,400819
T;0,360529
S;0,36049
0;0,337439
A;0,330122
C;0,32305
2;0,254561
9;0,247365
M;0,240254
I;0,231106
B;0,219362
P;0,193197
H;0,193121
-;0,188246
D;0,161001
R;0,159971
F;0,147876
L;0,146832
';0,144694
x;0,141954
N;0,134078
);0,132801
(;0,132642
W;0,131417
G;0,128869
8;0,123201
E;0,122643
5;0,106087
O;0,104068
3;0,103924
J;0,103707
7;0,09812
4;0,097097
6;0,096725
z;0,092121
K;0,0802
j;0,079084
U;0,072961
:;0,066414
q;0,065696
V;0,059568
–;0,036623
Y;0,028884
";";0,027451
/;0,01724
 ;0,01468
Z;0,014557
%;0,011778
Q;0,011254
é;0,010059
X;0,008493
&;0,007369
$;0,006761
!;0,005781
—;0,00556
_;0,005493
=;0,004961
’;0,004712
á;0,004612
í;0,003029
ó;0,002901
|;0,002791
ü;0,002662
ö;0,002534
”;0,002419
“;0,002416
ā;0,002212
#;0,001988
>;0,001866
<;0,00177
?;0,001738
£;0,001735
ć;0,001618
+;0,001605
ä;0,001545
[;0,001405
ō;0,001354
è;0,001322
ç;0,001045
];0,001009
°;0,000999
š;0,000975
ñ;0,000931
ã;0,000867
*;0,000803
č;0,000757
ø;0,000728
ł;0,000705
É;0,000697
â;0,00069
‘;0,000688
ú;0,000675
ū;0,000656
ă;0,000589
ī;0,000467
à;0,000466
ı;0,000455
ô;0,000443
ë;0,000437
−;0,000411
а;0,00041
ș;0,0004
×;0,0004
å;0,000398
α;0,000389
о;0,000355
ž;0,00034
ê;0,000334
ń;0,000323
ş;0,000321
и;0,000312
Á;0,00031
ð;0,0003
€;0,0003
Š;0,0003
…;0,0003
ß;0,000288
е;0,000274
æ;0,000272
н;0,000268
{;0,000257
ا;0,000239
р;0,000239
ğ;0,000228
~;0,000217
ʼ;0,000217
ï;0,000214
•;0,000212
β;0,000208
ý;0,000204
ś;0,000195
Ö;0,000186
к;0,000185
с;0,000183
\;0,000181
};0,000181
ř;0,000179
т;0,000178
в;0,000174
î;0,000174
ț;0,00017
ο;0,000168
ē;0,000167
л;0,000164
μ;0,000162
Č;0,000161
½;0,000145
σ;0,000141
Ō;0,000141
ν;0,00014
ل;0,00014
Ž;0,000138
ě;0,000138
λ;0,000138
Đ;0,000137
ḥ;0,000137
²;0,000133
ι;0,000131
Å;0,000131
ρ;0,000126
ς;0,000125
·;0,000124
Ó;0,000124
İ;0,000121
ò;0,000116
đ;0,000114
ṭ;0,000114
ę;0,000114
ė;0,000112
τ;0,000112
ą;0,000112
π;0,00011
ा;0,00011
ε;0,000108
ì;0,000106
ő;0,000106
Ś;0,000104
→;0,000101
ر;0,000101
ṇ;0,0001
±;0,0001
ḍ;0,0001
Æ;9,9E-05
′;9,9E-05
ن;9,8E-05
д;9,7E-05
@;9,7E-05
ʻ;9,7E-05
κ;9,5E-05
ṣ;9,4E-05
ż;9,4E-05
Ø;9,2E-05
у;8,9E-05
و;8,8E-05
ي;8,7E-05
м;8,6E-05
γ;8,6E-05
्;8,6E-05
م;8,5E-05
Ç;8,3E-05
்;8E-05
ʿ;7,9E-05
§;7,8E-05
δ;7,6E-05
Ş;7,4E-05
Î;7,4E-05
ب;7,3E-05
`;7,3E-05
й;7,3E-05
Ł;7,2E-05
õ;7,2E-05
ω;6,9E-05
η;6,9E-05
د;6,9E-05
र;6,7E-05
г;6,6E-05
ù;6,5E-05
″;6,5E-05
Ú;6,4E-05
س;6,2E-05
п;6,2E-05
я;6,1E-05
Ü;6E-05
ệ;6E-05
θ;6E-05
ы;5,9E-05
»;5,9E-05
 ;5,8E-05
û;5,8E-05
†;5,8E-05
ь;5,8E-05
Ḥ;5,8E-05
ч;5,6E-05
ư;5,4E-05
«;5,4E-05
ň;5,4E-05
Í;5,3E-05
ی;5,3E-05
Þ;5,1E-05
С;5E-05
υ;4,9E-05
ί;4,8E-05
б;4,8E-05
з;4,8E-05
ả;4,8E-05
ễ;4,8E-05
ạ;4,7E-05
Δ;4,7E-05
Ā;4,7E-05
ά;4,7E-05
क;4,7E-05
φ;4,6E-05
ت;4,6E-05
ό;4,6E-05
ə;4,6E-05
त;4,6E-05
œ;4,5E-05
ơ;4,5E-05
‑;4,5E-05
