Character;100 symbols;1000 symbols;10000 symbols;100000 symbols;All symbols
پ;0;0;0;0;6E-06
‌;0;0;0;0;6E-06
₴;0;0;0;0;6E-06
ķ;0;0;0;0;6E-06
⊂;0;0;0;0;6E-06
く;0;0;0;0;6E-06
ủ;0;0;0;0;6E-06
ோ;0;0;0;0;6E-06
̈;0;0;0;0;5E-06
マ;0;0;0;0;5E-06
פ;0;0;0;0;5E-06
立;0;0;0;0;5E-06
興;0;0;0;0;5E-06
≡;0;0;0;0;5E-06
ო;0;0;0;0;5E-06
郡;0;0;0;0;5E-06
通;0;0;0;0;5E-06
문;0;0;0;0;5E-06
도;0;0;0;0;5E-06
ག;0;0;0;0;5E-06
വ;0;0;0;0;5E-06
서;0;0;0;0;5E-06
ド;0;0;0;0;5E-06
์;0;0;0;0;5E-06
か;0;0;0;0;5E-06
ẹ;0;0;0;0;5E-06
月;0;0;0;0;5E-06
̀;0;0;0;0;5E-06
江;0;0;0;0;5E-06
Ἀ;0;0;0;0;5E-06
⅓;0;0;0;0;5E-06
ổ;0;0;0;0;5E-06
春;0;0;0;0;5E-06
シ;0;0;0;0;5E-06
Ч;0;0;0;0;5E-06
ض;0;0;0;0;5E-06
ể;0;0;0;0;5E-06
ْ;0;0;0;0;5E-06
ט;0;0;0;0;5E-06
ठ;0;0;0;0;5E-06
原;0;0;0;0;5E-06
յ;0;0;0;0;5E-06
ਾ;0;0;0;0;5E-06
।;0;0;0;0;5E-06
ს;0;0;0;0;5E-06
法;0;0;0;0;5E-06
こ;0;0;0;0;5E-06
水;0;0;0;0;5E-06
ต;0;0;0;0;5E-06
Η;0;0;0;0;5E-06
星;0;0;0;0;5E-06
校;0;0;0;0;5E-06
थ;0;0;0;0;5E-06
後;0;0;0;0;5E-06
レ;0;0;0;0;5E-06
ར;0;0;0;0;5E-06
̱;0;0;0;0;5E-06
사;0;0;0;0;5E-06
ெ;0;0;0;0;5E-06
ম;0;0;0;0;5E-06
ช;0;0;0;0;5E-06
　;0;0;0;0;5E-06
家;0;0;0;0;5E-06
ナ;0;0;0;0;5E-06
野;0;0;0;0;5E-06
إ;0;0;0;0;5E-06
永;0;0;0;0;5E-06
Я;0;0;0;0;5E-06
̓;0;0;0;0;5E-06
理;0;0;0;0;5E-06
̲;0;0;0;0;5E-06
Ī;0;0;0;0;5E-06
್;0;0;0;0;5E-06
‰;0;0;0;0;5E-06
ழ;0;0;0;0;5E-06
₸;0;0;0;0;5E-06
ు;0;0;0;0;5E-06
Ķ;0;0;0;0;5E-06
は;0;0;0;0;5E-06
ְ;0;0;0;0;5E-06
館;0;0;0;0;5E-06
キ;0;0;0;0;5E-06
廣;0;0;0;0;5E-06
華;0;0;0;0;5E-06
Ρ;0;0;0;0;5E-06
的;0;0;0;0;5E-06
朝;0;0;0;0;5E-06
字;0;0;0;0;5E-06
無;0;0;0;0;5E-06
ḵ;0;0;0;0;5E-06
Ř;0;0;0;0;5E-06
Ğ;0;0;0;0;5E-06
楊;0;0;0;0;5E-06
տ;0;0;0;0;5E-06
『;0;0;0;0;5E-06
』;0;0;0;0;5E-06
ொ;0;0;0;0;5E-06
白;0;0;0;0;5E-06
フ;0;0;0;0;5E-06
四;0;0;0;0;5E-06
八;0;0;0;0;5E-06
梁;0;0;0;0;5E-06
界;0;0;0;0;5E-06
官;0;0;0;0;5E-06
開;0;0;0;0;5E-06
ɣ;0;0;0;0;5E-06
英;0;0;0;0;5E-06
⊆;0;0;0;0;5E-06
お;0;0;0;0;5E-06
民;0;0;0;0;5E-06
¬;0;0;0;0;5E-06
བ;0;0;0;0;5E-06
ོ;0;0;0;0;5E-06
÷;0;0;0;0;5E-06
教;0;0;0;0;5E-06
ɜ;0;0;0;0;5E-06
ム;0;0;0;0;4E-06
れ;0;0;0;0;4E-06
手;0;0;0;0;4E-06
昭;0;0;0;0;4E-06
定;0;0;0;0;4E-06
信;0;0;0;0;4E-06
洋;0;0;0;0;4E-06
街;0;0;0;0;4E-06
カ;0;0;0;0;4E-06
周;0;0;0;0;4E-06
ာ;0;0;0;0;4E-06
आ;0;0;0;0;4E-06
ỏ;0;0;0;0;4E-06
ḏ;0;0;0;0;4E-06
古;0;0;0;0;4E-06
志;0;0;0;0;4E-06
郭;0;0;0;0;4E-06
북;0;0;0;0;4E-06
ַ;0;0;0;0;4E-06
়;0;0;0;0;4E-06
න;0;0;0;0;4E-06
ි;0;0;0;0;4E-06
ค;0;0;0;0;4E-06
刀;0;0;0;0;4E-06
₩;0;0;0;0;4E-06
ా;0;0;0;0;4E-06
국;0;0;0;0;4E-06
市;0;0;0;0;4E-06
木;0;0;0;0;4E-06
越;0;0;0;0;4E-06
名;0;0;0;0;4E-06
孫;0;0;0;0;4E-06
下;0;0;0;0;4E-06
段;0;0;0;0;4E-06
ジ;0;0;0;0;4E-06
ῖ;0;0;0;0;4E-06
を;0;0;0;0;4E-06
 ;0;0;0;0;4E-06
ป;0;0;0;0;4E-06
স;0;0;0;0;4E-06
대;0;0;0;0;4E-06
宗;0;0;0;0;4E-06
ூ;0;0;0;0;4E-06
夷;0;0;0;0;4E-06
↑;0;0;0;0;4E-06
리;0;0;0;0;4E-06
代;0;0;0;0;4E-06
ִ;0;0;0;0;4E-06
侯;0;0;0;0;4E-06
ז;0;0;0;0;4E-06
उ;0;0;0;0;4E-06
襄;0;0;0;0;4E-06
̪;0;0;0;0;4E-06
მ;0;0;0;0;4E-06
⊥;0;0;0;0;4E-06
史;0;0;0;0;4E-06
І;0;0;0;0;4E-06
ս;0;0;0;0;4E-06
្;0;0;0;0;4E-06
ீ;0;0;0;0;4E-06
ダ;0;0;0;0;4E-06
が;0;0;0;0;4E-06
雄;0;0;0;0;4E-06
有;0;0;0;0;4E-06
港;0;0;0;0;4E-06
度;0;0;0;0;4E-06
門;0;0;0;0;4E-06
ɲ;0;0;0;0;4E-06
寶;0;0;0;0;4E-06
˚;0;0;0;0;4E-06
情;0;0;0;0;4E-06
ौ;0;0;0;0;4E-06
ู;0;0;0;0;4E-06
ὶ;0;0;0;0;4E-06
合;0;0;0;0;4E-06
ব;0;0;0;0;4E-06
∴;0;0;0;0;4E-06
Ж;0;0;0;0;4E-06
韓;0;0;0;0;4E-06
ः;0;0;0;0;4E-06
چ;0;0;0;0;4E-06
ಕ;0;0;0;0;4E-06
所;0;0;0;0;4E-06
十;0;0;0;0;4E-06
ট;0;0;0;0;4E-06
テ;0;0;0;0;4E-06
ಾ;0;0;0;0;4E-06
남;0;0;0;0;4E-06
ち;0;0;0;0;4E-06
雲;0;0;0;0;4E-06
プ;0;0;0;0;4E-06
ֵ;0;0;0;0;4E-06
會;0;0;0;0;4E-06
©;0;0;0;0;4E-06
サ;0;0;0;0;4E-06
ら;0;0;0;0;4E-06
師;0;0;0;0;4E-06
男;0;0;0;0;4E-06
聖;0;0;0;0;4E-06
業;0;0;0;0;4E-06
出;0;0;0;0;4E-06
ল;0;0;0;0;4E-06
̨;0;0;0;0;4E-06
時;0;0;0;0;4E-06
あ;0;0;0;0;4E-06
宮;0;0;0;0;4E-06
̅;0;0;0;0;4E-06
仁;0;0;0;0;4E-06
胡;0;0;0;0;4E-06
ە;0;0;0;0;4E-06
形;0;0;0;0;4E-06
者;0;0;0;0;4E-06
ා;0;0;0;0;4E-06
ģ;0;0;0;0;4E-06
ข;0;0;0;0;4E-06
六;0;0;0;0;4E-06
集;0;0;0;0;4E-06
ಲ;0;0;0;0;4E-06
流;0;0;0;0;4E-06
െ;0;0;0;0;4E-06
ミ;0;0;0;0;3E-06
ἐ;0;0;0;0;3E-06
Ḫ;0;0;0;0;3E-06
自;0;0;0;0;3E-06
景;0;0;0;0;3E-06
育;0;0;0;0;3E-06
將;0;0;0;0;3E-06
何;0;0;0;0;3E-06
羅;0;0;0;0;3E-06
版;0;0;0;0;3E-06
や;0;0;0;0;3E-06
村;0;0;0;0;3E-06
前;0;0;0;0;3E-06
用;0;0;0;0;3E-06
Ọ;0;0;0;0;3E-06
黎;0;0;0;0;3E-06
한;0;0;0;0;3E-06
ვ;0;0;0;0;3E-06
デ;0;0;0;0;3E-06
延;0;0;0;0;3E-06
ರ;0;0;0;0;3E-06
バ;0;0;0;0;3E-06
،;0;0;0;0;3E-06
ذ;0;0;0;0;3E-06
ṉ;0;0;0;0;3E-06
ſ;0;0;0;0;3E-06
Ċ;0;0;0;0;3E-06
₳;0;0;0;0;3E-06
ィ;0;0;0;0;3E-06
அ;0;0;0;0;3E-06
ീ;0;0;0;0;3E-06
ө;0;0;0;0;3E-06
ḃ;0;0;0;0;3E-06
న;0;0;0;0;3E-06
姚;0;0;0;0;3E-06
ნ;0;0;0;0;3E-06
ุ;0;0;0;0;3E-06
正;0;0;0;0;3E-06
郎;0;0;0;0;3E-06
黃;0;0;0;0;3E-06
福;0;0;0;0;3E-06
ま;0;0;0;0;3E-06
ʉ;0;0;0;0;3E-06
っ;0;0;0;0;3E-06
⊗;0;0;0;0;3E-06
頭;0;0;0;0;3E-06
さ;0;0;0;0;3E-06
화;0;0;0;0;3E-06
ث;0;0;0;0;3E-06
ള;0;0;0;0;3E-06
지;0;0;0;0;3E-06
հ;0;0;0;0;3E-06
⁄;0;0;0;0;3E-06
ங;0;0;0;0;3E-06
化;0;0;0;0;3E-06
堂;0;0;0;0;3E-06
⍝;0;0;0;0;3E-06
ஆ;0;0;0;0;3E-06
鄺;0;0;0;0;3E-06
ῦ;0;0;0;0;3E-06
њ;0;0;0;0;3E-06
మ;0;0;0;0;3E-06
‚;0;0;0;0;3E-06
メ;0;0;0;0;3E-06
博;0;0;0;0;3E-06
つ;0;0;0;0;3E-06
‒;0;0;0;0;3E-06
商;0;0;0;0;3E-06
忠;0;0;0;0;3E-06
兵;0;0;0;0;3E-06
壽;0;0;0;0;3E-06
荊;0;0;0;0;3E-06
լ;0;0;0;0;3E-06
း;0;0;0;0;3E-06
ု;0;0;0;0;3E-06
จ;0;0;0;0;3E-06
͡;0;0;0;0;3E-06
章;0;0;0;0;3E-06
ਸ;0;0;0;0;3E-06
愛;0;0;0;0;3E-06
良;0;0;0;0;3E-06
수;0;0;0;0;3E-06
ً;0;0;0;0;3E-06
의;0;0;0;0;3E-06
松;0;0;0;0;3E-06
ℳ;0;0;0;0;3E-06
ظ;0;0;0;0;3E-06
უ;0;0;0;0;3E-06
თ;0;0;0;0;3E-06
台;0;0;0;0;3E-06
間;0;0;0;0;3E-06
九;0;0;0;0;3E-06
ừ;0;0;0;0;3E-06
ུ;0;0;0;0;3E-06
ª;0;0;0;0;3E-06
√;0;0;0;0;3E-06
원;0;0;0;0;3E-06
ර;0;0;0;0;3E-06
Ḳ;0;0;0;0;3E-06
よ;0;0;0;0;3E-06
∆;0;0;0;0;3E-06
佛;0;0;0;0;3E-06
陈;0;0;0;0;3E-06
ɕ;0;0;0;0;3E-06
แ;0;0;0;0;3E-06
전;0;0;0;0;3E-06
ీ;0;0;0;0;3E-06
గ;0;0;0;0;3E-06
み;0;0;0;0;3E-06
治;0;0;0;0;3E-06
玉;0;0;0;0;3E-06
阿;0;0;0;0;3E-06
夫;0;0;0;0;3E-06
ウ;0;0;0;0;3E-06
重;0;0;0;0;3E-06
দ;0;0;0;0;3E-06
ေ;0;0;0;0;3E-06
唐;0;0;0;0;3E-06
康;0;0;0;0;3E-06
等;0;0;0;0;3E-06
ャ;0;0;0;0;3E-06
作;0;0;0;0;3E-06
ˌ;0;0;0;0;3E-06
ᴗ;0;0;0;0;3E-06
장;0;0;0;0;3E-06
ಿ;0;0;0;0;3E-06
許;0;0;0;0;3E-06
Ά;0;0;0;0;3E-06
ڠ;0;0;0;0;3E-06
島;0;0;0;0;3E-06
君;0;0;0;0;3E-06
經;0;0;0;0;3E-06
ⴰ;0;0;0;0;3E-06
ස;0;0;0;0;3E-06
オ;0;0;0;0;3E-06
グ;0;0;0;0;3E-06
典;0;0;0;0;3E-06
漢;0;0;0;0;3E-06
え;0;0;0;0;3E-06
内;0;0;0;0;3E-06
令;0;0;0;0;3E-06
ު;0;0;0;0;3E-06
치;0;0;0;0;3E-06
臧;0;0;0;0;3E-06
�;0;0;0;0;3E-06
秦;0;0;0;0;3E-06
မ;0;0;0;0;3E-06
園;0;0;0;0;3E-06
Ď;0;0;0;0;3E-06
정;0;0;0;0;3E-06
기;0;0;0;0;3E-06
屋;0;0;0;0;3E-06
保;0;0;0;0;3E-06
關;0;0;0;0;3E-06
陸;0;0;0;0;3E-06
清;0;0;0;0;3E-06
沙;0;0;0;0;3E-06
外;0;0;0;0;3E-06
당;0;0;0;0;3E-06
寺;0;0;0;0;3E-06
ブ;0;0;0;0;3E-06
உ;0;0;0;0;3E-06
Ј;0;0;0;0;3E-06
利;0;0;0;0;3E-06
千;0;0;0;0;3E-06
多;0;0;0;0;3E-06
জ;0;0;0;0;3E-06
見;0;0;0;0;3E-06
チ;0;0;0;0;3E-06
ር;0;0;0;0;3E-06
ἄ;0;0;0;0;3E-06
ῶ;0;0;0;0;3E-06
ֶ;0;0;0;0;3E-06
涼;0;0;0;0;3E-06
相;0;0;0;0;3E-06
₦;0;0;0;0;3E-06
氏;0;0;0;0;3E-06
ẵ;0;0;0;0;3E-06
우;0;0;0;0;3E-06
자;0;0;0;0;3E-06
일;0;0;0;0;3E-06
ི;0;0;0;0;3E-06
連;0;0;0;0;3E-06
‍;0;0;0;0;3E-06
∧;0;0;0;0;3E-06
ග;0;0;0;0;3E-06
산;0;0;0;0;3E-06
প;0;0;0;0;3E-06
ृ;0;0;0;0;3E-06
♥;0;0;0;0;3E-06
♦;0;0;0;0;3E-06
ང;0;0;0;0;3E-06
ན;0;0;0;0;3E-06
族;0;0;0;0;3E-06
ަ;0;0;0;0;3E-06
எ;0;0;0;0;3E-06
☠;0;0;0;0;3E-06
Ƶ;0;0;0;0;3E-06
루;0;0;0;0;3E-06
ల;0;0;0;0;3E-06
주;0;0;0;0;3E-06
す;0;0;0;0;3E-06
《;0;0;0;0;3E-06
》;0;0;0;0;3E-06
ẽ;0;0;0;0;3E-06
Ḵ;0;0;0;0;3E-06
ĭ;0;0;0;0;3E-06
幽;0;0;0;0;3E-06
ặ;0;0;0;0;3E-06
院;0;0;0;0;3E-06
徐;0;0;0;0;3E-06
翼;0;0;0;0;3E-06
တ;0;0;0;0;3E-06
န;0;0;0;0;3E-06
̯;0;0;0;0;3E-06
陵;0;0;0;0;3E-06
ਰ;0;0;0;0;3E-06
ṟ;0;0;0;0;3E-06
傳;0;0;0;0;3E-06
錢;0;0;0;0;3E-06
鮮;0;0;0;0;3E-06
朱;0;0;0;0;3E-06
衛;0;0;0;0;3E-06
ツ;0;0;0;0;3E-06
：;0;0;0;0;3E-06
府;0;0;0;0;3E-06
ٹ;0;0;0;0;3E-06
̆;0;0;0;0;3E-06
ỉ;0;0;0;0;3E-06
ὁ;0;0;0;0;3E-06
క;0;0;0;0;3E-06
ĕ;0;0;0;0;3E-06
Ð;0;0;0;0;3E-06
상;0;0;0;0;3E-06
記;0;0;0;0;3E-06
ʲ;0;0;0;0;3E-06
Õ;0;0;0;0;3E-06
կ;0;0;0;0;3E-06
ბ;0;0;0;0;3E-06
ো;0;0;0;0;3E-06
ൻ;0;0;0;0;3E-06
ಮ;0;0;0;0;3E-06
ェ;0;0;0;0;3E-06
政;0;0;0;0;3E-06
ು;0;0;0;0;3E-06
エ;0;0;0;0;3E-06
ѡ;0;0;0;0;3E-06
유;0;0;0;0;3E-06
Ť;0;0;0;0;3E-06
고;0;0;0;0;2E-06
삼;0;0;0;0;2E-06
だ;0;0;0;0;2E-06
魏;0;0;0;0;2E-06
藤;0;0;0;0;2E-06
同;0;0;0;0;2E-06
趙;0;0;0;0;2E-06
如;0;0;0;0;2E-06
是;0;0;0;0;2E-06
我;0;0;0;0;2E-06
夏;0;0;0;0;2E-06
湖;0;0;0;0;2E-06
達;0;0;0;0;2E-06
က;0;0;0;0;2E-06
駅;0;0;0;0;2E-06
杜;0;0;0;0;2E-06
智;0;0;0;0;2E-06
伯;0;0;0;0;2E-06
空;0;0;0;0;2E-06
初;0;0;0;0;2E-06
վ;0;0;0;0;2E-06
¨;0;0;0;0;2E-06
宏;0;0;0;0;2E-06
ए;0;0;0;0;2E-06
ュ;0;0;0;0;2E-06
Ա;0;0;0;0;2E-06
洪;0;0;0;0;2E-06
隊;0;0;0;0;2E-06
宋;0;0;0;0;2E-06
最;0;0;0;0;2E-06
צ;0;0;0;0;2E-06
昌;0;0;0;0;2E-06
戦;0;0;0;0;2E-06
術;0;0;0;0;2E-06
せ;0;0;0;0;2E-06
觀;0;0;0;0;2E-06
∪;0;0;0;0;2E-06
선;0;0;0;0;2E-06
ხ;0;0;0;0;2E-06
오;0;0;0;0;2E-06
फ;0;0;0;0;2E-06
인;0;0;0;0;2E-06
가;0;0;0;0;2E-06
論;0;0;0;0;2E-06
弘;0;0;0;0;2E-06
蒲;0;0;0;0;2E-06
ම;0;0;0;0;2E-06
ක;0;0;0;0;2E-06
ල;0;0;0;0;2E-06
常;0;0;0;0;2E-06
ใ;0;0;0;0;2E-06
제;0;0;0;0;2E-06
▪;0;0;0;0;2E-06
第;0;0;0;0;2E-06
ở;0;0;0;0;2E-06
玄;0;0;0;0;2E-06
食;0;0;0;0;2E-06
ʌ;0;0;0;0;2E-06
⍳;0;0;0;0;2E-06
靳;0;0;0;0;2E-06
桓;0;0;0;0;2E-06
笙;0;0;0;0;2E-06
జ;0;0;0;0;2E-06
경;0;0;0;0;2E-06
›;0;0;0;0;2E-06
谷;0;0;0;0;2E-06
浩;0;0;0;0;2E-06
ֹ;0;0;0;0;2E-06
鳳;0;0;0;0;2E-06
紀;0;0;0;0;2E-06
彭;0;0;0;0;2E-06
万;0;0;0;0;2E-06
চ;0;0;0;0;2E-06
င;0;0;0;0;2E-06
ရ;0;0;0;0;2E-06
ပ;0;0;0;0;2E-06
ʒ;0;0;0;0;2E-06
黒;0;0;0;0;2E-06
晉;0;0;0;0;2E-06
密;0;0;0;0;2E-06
セ;0;0;0;0;2E-06
բ;0;0;0;0;2E-06
老;0;0;0;0;2E-06
賴;0;0;0;0;2E-06
ദ;0;0;0;0;2E-06
図;0;0;0;0;2E-06
賈;0;0;0;0;2E-06
孟;0;0;0;0;2E-06
ׁ;0;0;0;0;2E-06
想;0;0;0;0;2E-06
ศ;0;0;0;0;2E-06
燕;0;0;0;0;2E-06
御;0;0;0;0;2E-06
무;0;0;0;0;2E-06
배;0;0;0;0;2E-06
യ;0;0;0;0;2E-06
∩;0;0;0;0;2E-06
管;0;0;0;0;2E-06
局;0;0;0;0;2E-06
ስ;0;0;0;0;2E-06
华;0;0;0;0;2E-06
গ;0;0;0;0;2E-06
ळ;0;0;0;0;2E-06
ई;0;0;0;0;2E-06
보;0;0;0;0;2E-06
교;0;0;0;0;2E-06
Ū;0;0;0;0;2E-06
ἰ;0;0;0;0;2E-06
主;0;0;0;0;2E-06
わ;0;0;0;0;2E-06
ြ;0;0;0;0;2E-06
Ò;0;0;0;0;2E-06
ী;0;0;0;0;2E-06
パ;0;0;0;0;2E-06
丸;0;0;0;0;2E-06
事;0;0;0;0;2E-06
∘;0;0;0;0;2E-06
আ;0;0;0;0;2E-06
ި;0;0;0;0;2E-06
ʕ;0;0;0;0;2E-06
姑;0;0;0;0;2E-06
ం;0;0;0;0;2E-06
포;0;0;0;0;2E-06
₶;0;0;0;0;2E-06
ܐ;0;0;0;0;2E-06
‹;0;0;0;0;2E-06
選;0;0;0;0;2E-06
土;0;0;0;0;2E-06
☆;0;0;0;0;2E-06
曲;0;0;0;0;2E-06
萬;0;0;0;0;2E-06
Ţ;0;0;0;0;2E-06
葉;0;0;0;0;2E-06
ノ;0;0;0;0;2E-06
交;0;0;0;0;2E-06
区;0;0;0;0;2E-06
孝;0;0;0;0;2E-06
權;0;0;0;0;2E-06
ไ;0;0;0;0;2E-06
仲;0;0;0;0;2E-06
ੀ;0;0;0;0;2E-06
इ;0;0;0;0;2E-06
ภ;0;0;0;0;2E-06
口;0;0;0;0;2E-06
き;0;0;0;0;2E-06
も;0;0;0;0;2E-06
─;0;0;0;0;2E-06
死;0;0;0;0;2E-06
ケ;0;0;0;0;2E-06
ハ;0;0;0;0;2E-06
鄭;0;0;0;0;2E-06
你;0;0;0;0;2E-06
ḇ;0;0;0;0;2E-06
ὰ;0;0;0;0;2E-06
吴;0;0;0;0;2E-06
⁣;0;0;0;0;2E-06
∅;0;0;0;0;2E-06
ὐ;0;0;0;0;2E-06
虞;0;0;0;0;2E-06
特;0;0;0;0;2E-06
超;0;0;0;0;2E-06
ೆ;0;0;0;0;2E-06
烏;0;0;0;0;2E-06
양;0;0;0;0;2E-06
은;0;0;0;0;2E-06
ɫ;0;0;0;0;2E-06
禮;0;0;0;0;2E-06
協;0;0;0;0;2E-06
雅;0;0;0;0;2E-06
青;0;0;0;0;2E-06
秀;0;0;0;0;2E-06
ේ;0;0;0;0;2E-06
ḗ;0;0;0;0;2E-06
ȟ;0;0;0;0;2E-06
乡;0;0;0;0;2E-06
រ;0;0;0;0;2E-06
부;0;0;0;0;2E-06
固;0;0;0;0;2E-06
技;0;0;0;0;2E-06
狄;0;0;0;0;2E-06
є;0;0;0;0;2E-06
店;0;0;0;0;2E-06
ँ;0;0;0;0;2E-06
羊;0;0;0;0;2E-06
毛;0;0;0;0;2E-06
ユ;0;0;0;0;2E-06
ニ;0;0;0;0;2E-06
体;0;0;0;0;2E-06
モ;0;0;0;0;2E-06
ེ;0;0;0;0;2E-06
镇;0;0;0;0;2E-06
ް;0;0;0;0;2E-06
ދ;0;0;0;0;2E-06
諏;0;0;0;0;2E-06
慶;0;0;0;0;2E-06
威;0;0;0;0;2E-06
॥;0;0;0;0;2E-06
₂;0;0;0;0;2E-06
謝;0;0;0;0;2E-06
ろ;0;0;0;0;2E-06
ธ;0;0;0;0;2E-06
̍;0;0;0;0;2E-06
淮;0;0;0;0;2E-06
ء;0;0;0;0;2E-06
樓;0;0;0;0;2E-06
以;0;0;0;0;2E-06
ズ;0;0;0;0;2E-06
桂;0;0;0;0;2E-06
գ;0;0;0;0;2E-06
然;0;0;0;0;2E-06
শ;0;0;0;0;2E-06
ু;0;0;0;0;2E-06
ɡ;0;0;0;0;2E-06
程;0;0;0;0;2E-06
ך;0;0;0;0;2E-06
歌;0;0;0;0;2E-06
灣;0;0;0;0;2E-06
ṁ;0;0;0;0;2E-06
घ;0;0;0;0;2E-06
छ;0;0;0;0;2E-06
ผ;0;0;0;0;2E-06
ボ;0;0;0;0;2E-06
ք;0;0;0;0;2E-06
来;0;0;0;0;2E-06
路;0;0;0;0;2E-06
杯;0;0;0;0;2E-06
火;0;0;0;0;2E-06
命;0;0;0;0;2E-06
戰;0;0;0;0;2E-06
語;0;0;0;0;2E-06
마;0;0;0;0;2E-06
ڈ;0;0;0;0;2E-06
ʹ;0;0;0;0;2E-06
성;0;0;0;0;2E-06
∨;0;0;0;0;2E-06
講;0;0;0;0;2E-06
順;0;0;0;0;2E-06
공;0;0;0;0;2E-06
黑;0;0;0;0;2E-06
科;0;0;0;0;2E-06
工;0;0;0;0;2E-06
ǵ;0;0;0;0;2E-06
Ṛ;0;0;0;0;2E-06
̣;0;0;0;0;2E-06
蘭;0;0;0;0;2E-06
ད;0;0;0;0;2E-06
།;0;0;0;0;2E-06
ϊ;0;0;0;0;2E-06
Ḍ;0;0;0;0;2E-06
品;0;0;0;0;2E-06
ѣ;0;0;0;0;2E-06
画;0;0;0;0;2E-06
ɾ;0;0;0;0;2E-06
ɹ;0;0;0;0;2E-06
童;0;0;0;0;2E-06
འ;0;0;0;0;2E-06
ὄ;0;0;0;0;2E-06
로;0;0;0;0;2E-06
風;0;0;0;0;2E-06
め;0;0;0;0;2E-06
Ê;0;0;0;0;2E-06
藏;0;0;0;0;2E-06
沖;0;0;0;0;2E-06
ञ;0;0;0;0;2E-06
動;0;0;0;0;2E-06
尚;0;0;0;0;2E-06
韜;0;0;0;0;2E-06
Ġ;0;0;0;0;2E-06
豫;0;0;0;0;2E-06
進;0;0;0;0;2E-06
♠;0;0;0;0;2E-06
ゃ;0;0;0;0;2E-06
妃;0;0;0;0;2E-06
진;0;0;0;0;2E-06
切;0;0;0;0;2E-06
내;0;0;0;0;2E-06
斗;0;0;0;0;2E-06
സ;0;0;0;0;2E-06
ಳ;0;0;0;0;2E-06
ለ;0;0;0;0;2E-06
ɬ;0;0;0;0;2E-06
ු;0;0;0;0;2E-06
స;0;0;0;0;2E-06
악;0;0;0;0;2E-06
ʸ;0;0;0;0;2E-06
დ;0;0;0;0;2E-06
조;0;0;0;0;2E-06
아;0;0;0;0;2E-06
వ;0;0;0;0;2E-06
里;0;0;0;0;2E-06
難;0;0;0;0;2E-06
好;0;0;0;0;2E-06
鄧;0;0;0;0;2E-06
猛;0;0;0;0;2E-06
制;0;0;0;0;2E-06
友;0;0;0;0;2E-06
幕;0;0;0;0;2E-06
解;0;0;0;0;2E-06
吳;0;0;0;0;2E-06
任;0;0;0;0;2E-06
蔡;0;0;0;0;2E-06
在;0;0;0;0;2E-06
身;0;0;0;0;2E-06
झ;0;0;0;0;2E-06
ា;0;0;0;0;2E-06
補;0;0;0;0;2E-06
角;0;0;0;0;2E-06
～;0;0;0;0;2E-06
棋;0;0;0;0;2E-06
井;0;0;0;0;2E-06
ǝ;0;0;0;0;2E-06
ន;0;0;0;0;2E-06
թ;0;0;0;0;2E-06
ʈ;0;0;0;0;2E-06
হ;0;0;0;0;2E-06
號;0;0;0;0;2E-06
表;0;0;0;0;2E-06
丘;0;0;0;0;2E-06
俊;0;0;0;0;2E-06
酒;0;0;0;0;2E-06
恆;0;0;0;0;2E-06
계;0;0;0;0;2E-06
Ζ;0;0;0;0;2E-06
ℛ;0;0;0;0;2E-06
今;0;0;0;0;2E-06
각;0;0;0;0;2E-06
那;0;0;0;0;2E-06
Έ;0;0;0;0;2E-06
ә;0;0;0;0;2E-06
ವ;0;0;0;0;2E-06
末;0;0;0;0;2E-06
鄴;0;0;0;0;2E-06
修;0;0;0;0;2E-06
⅜;0;0;0;0;2E-06
健;0;0;0;0;2E-06
ӗ;0;0;0;0;2E-06
라;0;0;0;0;2E-06
沈;0;0;0;0;2E-06
ʀ;0;0;0;0;2E-06
律;0;0;0;0;2E-06
寧;0;0;0;0;2E-06
소;0;0;0;0;2E-06
ピ;0;0;0;0;2E-06
ื;0;0;0;0;2E-06
ղ;0;0;0;0;2E-06
པ;0;0;0;0;2E-06
ধ;0;0;0;0;2E-06
ਿ;0;0;0;0;2E-06
ਤ;0;0;0;0;2E-06
粉;0;0;0;0;2E-06
හ;0;0;0;0;2E-06
支;0;0;0;0;2E-06
母;0;0;0;0;2E-06
運;0;0;0;0;2E-06
ড;0;0;0;0;2E-06
⅔;0;0;0;0;2E-06
ප;0;0;0;0;2E-06
ᛁ;0;0;0;0;2E-06
獻;0;0;0;0;2E-06
团;0;0;0;0;2E-06
ಗ;0;0;0;0;2E-06
銀;0;0;0;0;2E-06
雍;0;0;0;0;2E-06
足;0;0;0;0;2E-06
ỹ;0;0;0;0;2E-06
場;0;0;0;0;2E-06
由;0;0;0;0;2E-06
面;0;0;0;0;2E-06
ഒ;0;0;0;0;2E-06
牛;0;0;0;0;2E-06
性;0;0;0;0;2E-06
房;0;0;0;0;2E-06
ⁿ;0;0;0;0;2E-06
ү;0;0;0;0;2E-06
ษ;0;0;0;0;2E-06
善;0;0;0;0;2E-06
ደ;0;0;0;0;2E-06
ብ;0;0;0;0;2E-06
舞;0;0;0;0;2E-06
േ;0;0;0;0;2E-06
柳;0;0;0;0;2E-06
త;0;0;0;0;2E-06
⏑;0;0;0;0;2E-06
ქ;0;0;0;0;2E-06
曹;0;0;0;0;2E-06
ガ;0;0;0;0;2E-06
