Character;100 symbols;1000 symbols;10000 symbols;100000 symbols;All symbols
−;0;0;0;0;0,000411
а;0;0;0;0;0,00041
ș;0;0;0;0;0,0004
ž;0;0;0;0;0,00034
ê;0;0;0;0;0,000334
ń;0;0;0;0;0,000323
ş;0;0;0;0;0,000321
ð;0;0;0;0;0,0003
€;0;0;0;0;0,0003
…;0;0;0;0;0,0003
ß;0;0;0;0;0,000288
е;0;0;0;0;0,000274
{;0;0;0;0;0,000257
ا;0;0;0;0;0,000239
р;0;0;0;0;0,000239
ğ;0;0;0;0;0,000228
ʼ;0;0;0;0;0,000217
ï;0;0;0;0;0,000214
β;0;0;0;0;0,000208
ý;0;0;0;0;0,000204
ś;0;0;0;0;0,000195
Ö;0;0;0;0;0,000186
к;0;0;0;0;0,000185
с;0;0;0;0;0,000183
};0;0;0;0;0,000181
ř;0;0;0;0;0,000179
т;0;0;0;0;0,000178
î;0;0;0;0;0,000174
ț;0;0;0;0;0,00017
ē;0;0;0;0;0,000167
л;0;0;0;0;0,000164
μ;0;0;0;0;0,000162
Č;0;0;0;0;0,000161
½;0;0;0;0;0,000145
σ;0;0;0;0;0,000141
Ō;0;0;0;0;0,000141
ν;0;0;0;0;0,00014
ل;0;0;0;0;0,00014
Ž;0;0;0;0;0,000138
ě;0;0;0;0;0,000138
λ;0;0;0;0;0,000138
Đ;0;0;0;0;0,000137
ḥ;0;0;0;0;0,000137
²;0;0;0;0;0,000133
ι;0;0;0;0;0,000131
Å;0;0;0;0;0,000131
ρ;0;0;0;0;0,000126
ς;0;0;0;0;0,000125
·;0;0;0;0;0,000124
Ó;0;0;0;0;0,000124
İ;0;0;0;0;0,000121
ò;0;0;0;0;0,000116
đ;0;0;0;0;0,000114
ṭ;0;0;0;0;0,000114
ę;0;0;0;0;0,000114
ė;0;0;0;0;0,000112
τ;0;0;0;0;0,000112
ा;0;0;0;0;0,00011
ε;0;0;0;0;0,000108
ì;0;0;0;0;0,000106
ő;0;0;0;0;0,000106
Ś;0;0;0;0;0,000104
→;0;0;0;0;0,000101
ر;0;0;0;0;0,000101
ṇ;0;0;0;0;0,0001
±;0;0;0;0;0,0001
ḍ;0;0;0;0;0,0001
′;0;0;0;0;9,9E-05
ن;0;0;0;0;9,8E-05
д;0;0;0;0;9,7E-05
@;0;0;0;0;9,7E-05
ʻ;0;0;0;0;9,7E-05
κ;0;0;0;0;9,5E-05
ṣ;0;0;0;0;9,4E-05
ż;0;0;0;0;9,4E-05
Ø;0;0;0;0;9,2E-05
у;0;0;0;0;8,9E-05
و;0;0;0;0;8,8E-05
ي;0;0;0;0;8,7E-05
м;0;0;0;0;8,6E-05
γ;0;0;0;0;8,6E-05
م;0;0;0;0;8,5E-05
Ç;0;0;0;0;8,3E-05
்;0;0;0;0;8E-05
ʿ;0;0;0;0;7,9E-05
§;0;0;0;0;7,8E-05
δ;0;0;0;0;7,6E-05
Ş;0;0;0;0;7,4E-05
Î;0;0;0;0;7,4E-05
ب;0;0;0;0;7,3E-05
`;0;0;0;0;7,3E-05
й;0;0;0;0;7,3E-05
Ł;0;0;0;0;7,2E-05
õ;0;0;0;0;7,2E-05
ω;0;0;0;0;6,9E-05
η;0;0;0;0;6,9E-05
د;0;0;0;0;6,9E-05
र;0;0;0;0;6,7E-05
г;0;0;0;0;6,6E-05
ù;0;0;0;0;6,5E-05
″;0;0;0;0;6,5E-05
Ú;0;0;0;0;6,4E-05
س;0;0;0;0;6,2E-05
п;0;0;0;0;6,2E-05
я;0;0;0;0;6,1E-05
Ü;0;0;0;0;6E-05
ệ;0;0;0;0;6E-05
θ;0;0;0;0;6E-05
ы;0;0;0;0;5,9E-05
»;0;0;0;0;5,9E-05
 ;0;0;0;0;5,8E-05
û;0;0;0;0;5,8E-05
†;0;0;0;0;5,8E-05
ь;0;0;0;0;5,8E-05
ч;0;0;0;0;5,6E-05
ư;0;0;0;0;5,4E-05
ň;0;0;0;0;5,4E-05
Í;0;0;0;0;5,3E-05
ی;0;0;0;0;5,3E-05
Þ;0;0;0;0;5,1E-05
С;0;0;0;0;5E-05
ί;0;0;0;0;4,8E-05
б;0;0;0;0;4,8E-05
з;0;0;0;0;4,8E-05
ả;0;0;0;0;4,8E-05
ễ;0;0;0;0;4,8E-05
ạ;0;0;0;0;4,7E-05
Δ;0;0;0;0;4,7E-05
Ā;0;0;0;0;4,7E-05
ά;0;0;0;0;4,7E-05
क;0;0;0;0;4,7E-05
φ;0;0;0;0;4,6E-05
ت;0;0;0;0;4,6E-05
ό;0;0;0;0;4,6E-05
ə;0;0;0;0;4,6E-05
त;0;0;0;0;4,6E-05
œ;0;0;0;0;4,5E-05
ơ;0;0;0;0;4,5E-05
‑;0;0;0;0;4,5E-05
न;0;0;0;0;4,4E-05
ि;0;0;0;0;4,3E-05
ع;0;0;0;0;4,3E-05
П;0;0;0;0;4,3E-05
म;0;0;0;0;4,2E-05
^;0;0;0;0;4,2E-05
י;0;0;0;0;4,2E-05
χ;0;0;0;0;4,1E-05
К;0;0;0;0;4,1E-05
ź;0;0;0;0;4E-05
ị;0;0;0;0;4E-05
●;0;0;0;0;3,9E-05
ு;0;0;0;0;3,8E-05
Ż;0;0;0;0;3,8E-05
¥;0;0;0;0;3,8E-05
य;0;0;0;0;3,6E-05
µ;0;0;0;0;3,6E-05
Â;0;0;0;0;3,6E-05
स;0;0;0;0;3,6E-05
ế;0;0;0;0;3,6E-05
த;0;0;0;0;3,5E-05
М;0;0;0;0;3,5E-05
Ș;0;0;0;0;3,5E-05
ி;0;0;0;0;3,5E-05
ŏ;0;0;0;0;3,4E-05
ه;0;0;0;0;3,4E-05
ी;0;0;0;0;3,3E-05
≤;0;0;0;0;3,3E-05
А;0;0;0;0;3,2E-05
В;0;0;0;0;3,2E-05
ו;0;0;0;0;3,2E-05
े;0;0;0;0;3,2E-05
ţ;0;0;0;0;3,2E-05
ʾ;0;0;0;0;3,1E-05
₹;0;0;0;0;3,1E-05
≥;0;0;0;0;3,1E-05
大;0;0;0;0;3,1E-05
व;0;0;0;0;3E-05
Σ;0;0;0;0;3E-05
º;0;0;0;0;3E-05
ق;0;0;0;0;3E-05
ŋ;0;0;0;0;2,9E-05
і;0;0;0;0;2,9E-05
州;0;0;0;0;2,9E-05
ồ;0;0;0;0;2,9E-05
प;0;0;0;0;2,9E-05
ح;0;0;0;0;2,9E-05
ー;0;0;0;0;2,8E-05
द;0;0;0;0;2,8E-05
王;0;0;0;0;2,8E-05
ц;0;0;0;0;2,8E-05
ṛ;0;0;0;0;2,8E-05
്;0;0;0;0;2,8E-05
ம;0;0;0;0;2,8E-05
ё;0;0;0;0;2,8E-05
ك;0;0;0;0;2,8E-05
þ;0;0;0;0;2,7E-05
ल;0;0;0;0;2,7E-05
Ț;0;0;0;0;2,7E-05
Ω;0;0;0;0;2,7E-05
ա;0;0;0;0;2,6E-05
ή;0;0;0;0;2,6E-05
́;0;0;0;0;2,6E-05
ة;0;0;0;0;2,6E-05
ƒ;0;0;0;0;2,6E-05
க;0;0;0;0;2,5E-05
ầ;0;0;0;0;2,5E-05
Р;0;0;0;0;2,5E-05
ह;0;0;0;0;2,5E-05
О;0;0;0;0;2,5E-05
³;0;0;0;0;2,5E-05
ר;0;0;0;0;2,5E-05
‐;0;0;0;0;2,5E-05
Ć;0;0;0;0;2,4E-05
¡;0;0;0;0;2,4E-05
の;0;0;0;0;2,4E-05
Б;0;0;0;0;2,4E-05
ů;0;0;0;0;2,4E-05
า;0;0;0;0;2,4E-05
ج;0;0;0;0;2,4E-05
ش;0;0;0;0;2,4E-05
Т;0;0;0;0;2,3E-05
ン;0;0;0;0;2,3E-05
ु;0;0;0;0;2,3E-05
Г;0;0;0;0;2,3E-05
Π;0;0;0;0;2,3E-05
ர;0;0;0;0;2,3E-05
´;0;0;0;0;2,3E-05
山;0;0;0;0;2,3E-05
ш;0;0;0;0;2,3E-05
א;0;0;0;0;2,3E-05
Α;0;0;0;0;2,2E-05
أ;0;0;0;0;2,2E-05
ה;0;0;0;0;2,2E-05
έ;0;0;0;0;2,2E-05
ύ;0;0;0;0;2,2E-05
ं;0;0;0;0;2,2E-05
ל;0;0;0;0;2,2E-05
ж;0;0;0;0;2,2E-05
¢;0;0;0;0;2,2E-05
ǫ;0;0;0;0;2,2E-05
ọ;0;0;0;0;2,1E-05
ग;0;0;0;0;2,1E-05
≈;0;0;0;0;2,1E-05
‡;0;0;0;0;2,1E-05
中;0;0;0;0;2,1E-05
ʔ;0;0;0;0;2,1E-05
ன;0;0;0;0;2,1E-05
ộ;0;0;0;0;2E-05
া;0;0;0;0;2E-05
Н;0;0;0;0;2E-05
∈;0;0;0;0;1,9E-05
་;0;0;0;0;1,9E-05
Д;0;0;0;0;1,9E-05
ŵ;0;0;0;0;1,9E-05
Λ;0;0;0;0;1,9E-05
ல;0;0;0;0;1,9E-05
人;0;0;0;0;1,8E-05
ो;0;0;0;0;1,8E-05
Γ;0;0;0;0;1,8E-05
Ε;0;0;0;0;1,8E-05
¼;0;0;0;0;1,8E-05
∞;0;0;0;0;1,8E-05
ک;0;0;0;0;1,8E-05
ร;0;0;0;0;1,8E-05
